id,side,timestamp,price,volume,mid_price,cluster
45,ask,2300,2001.0,30.0,1999.5,1
46,bid,2400,1999.0,30.0,2000.5,0
47,ask,2400,2002.0,30.0,2000.5,1
48,bid,2500,1999.0,21.0,2001.0,0
49,ask,2500,2003.0,21.0,2001.0,1
50,bid,2600,2000.0,28.0,2001.5,0
51,ask,2600,2003.0,22.0,2001.5,1
52,bid,2700,2000.0,27.0,2001.0,0
53,ask,2700,2003.0,27.0,2001.0,1
54,bid,2800,2000.0,28.0,2001.5,0
55,ask,2800,2003.0,28.0,2001.5,1
56,bid,2900,2001.0,30.0,2002.5,0
57,ask,2900,2004.0,30.0,2002.5,1
58,bid,3000,2001.0,28.0,2002.5,0
59,ask,3000,2004.0,28.0,2002.5,1
60,bid,3100,2000.0,26.0,2002.5,0
61,ask,3100,2003.0,25.0,2002.5,1
62,bid,3200,1999.0,28.0,2000.5,0
63,ask,3200,2002.0,28.0,2000.5,1
64,bid,3300,1999.0,26.0,2000.5,0
65,bid,3400,1999.0,23.0,2001.5,0
66,ask,3400,2003.0,23.0,2001.5,1
67,bid,3500,1999.0,31.0,2001.5,0
68,ask,3500,2002.0,31.0,2001.5,1
69,bid,3600,2000.0,26.0,2002.0,0
70,ask,3600,2004.0,26.0,2002.0,1
71,bid,3700,1999.0,25.0,2001.5,0
72,ask,3700,2003.0,27.0,2001.5,1
73,bid,3800,2000.0,27.0,2002.5,0
74,ask,3800,2004.0,27.0,2002.5,1
75,bid,3900,1999.0,26.0,2000.0,0
76,ask,3900,2003.0,26.0,2000.0,1
77,bid,4000,2000.0,31.0,2001.5,0
78,ask,4000,2003.0,27.0,2001.5,1
79,bid,4100,1999.0,28.0,2000.0,0
80,ask,4100,2003.0,28.0,2000.0,1
81,bid,4200,1999.0,24.0,2000.5,0
82,ask,4200,2002.0,25.0,2000.5,1
83,bid,4300,1999.0,26.0,2000.5,0
84,ask,4300,2002.0,26.0,2000.5,1
85,bid,4400,1998.0,29.0,1999.0,0
86,ask,4400,2001.0,29.0,1999.0,1
87,bid,4500,1998.0,30.0,1999.5,0
88,ask,4500,2001.0,30.0,1999.5,1
89,bid,4600,1998.0,31.0,2000.0,0
90,ask,4600,2002.0,31.0,2000.0,1
91,bid,4700,1996.0,30.0,1997.5,0
92,ask,4700,1999.0,30.0,1997.5,1
93,bid,4800,1998.0,26.0,1999.5,0
94,ask,4800,2001.0,26.0,1999.5,1
95,bid,4900,1996.0,22.0,1998.5,0
96,ask,4900,2000.0,24.0,1998.5,1
97,bid,5000,1997.0,21.0,1997.5,0
98,ask,5000,2001.0,21.0,1997.5,1
99,bid,5100,1997.0,31.0,1999.0,0
100,ask,5100,2001.0,31.0,1999.0,1
101,bid,5200,1998.0,27.0,1999.5,0
102,ask,5200,2001.0,27.0,1999.5,1
103,bid,5300,1998.0,23.0,1999.5,0
104,ask,5300,2002.0,22.0,1999.5,1
105,bid,5400,1999.0,30.0,2000.5,0
106,ask,5400,2002.0,30.0,2000.5,1
107,bid,5500,1999.0,31.0,2001.5,0
108,ask,5500,2002.0,30.0,2001.5,1
109,bid,5600,1998.0,32.0,2001.0,0
110,ask,5600,2002.0,32.0,2001.0,1
111,bid,5700,1997.0,29.0,1997.5,0
112,ask,5700,2000.0,29.0,1997.5,1
113,bid,5800,1996.0,28.0,1997.5,0
114,ask,5800,1999.0,28.0,1997.5,1
115,bid,5900,1995.0,29.0,1997.0,0
116,ask,5900,1999.0,29.0,1997.0,1
117,bid,6000,1995.0,23.0,1996.5,0
118,ask,6000,1998.0,23.0,1996.5,1
119,bid,6100,1995.0,27.0,1997.0,0
120,ask,6100,1999.0,27.0,1997.0,1
121,bid,6200,1995.0,23.0,1997.5,0
122,ask,6200,1999.0,25.0,1997.5,1
123,bid,6300,1997.0,26.0,1999.0,0
124,ask,6300,2001.0,26.0,1999.0,1
125,bid,6400,1999.0,26.0,1999.5,0
126,ask,6400,2003.0,26.0,1999.5,1
127,bid,6500,2000.0,22.0,2001.5,0
128,ask,6500,2003.0,22.0,2001.5,1
129,bid,6600,1999.0,24.0,2001.0,0
130,ask,6600,2003.0,25.0,2001.0,1
131,bid,6700,2001.0,24.0,2002.5,0
132,ask,6700,2004.0,28.0,2002.5,1
133,bid,6800,2001.0,24.0,2003.5,0
134,ask,6800,2005.0,24.0,2003.5,1
135,bid,6900,2001.0,28.0,2002.5,0
136,ask,6900,2004.0,28.0,2002.5,1
137,bid,7000,1999.0,24.0,2000.0,0
138,ask,7000,2003.0,24.0,2000.0,1
139,bid,7100,1999.0,26.0,1999.5,0
140,ask,7100,2003.0,26.0,1999.5,1
141,bid,7200,1999.0,26.0,2001.5,0
142,ask,7200,2003.0,27.0,2001.5,1
143,bid,7300,2000.0,27.0,2001.5,0
144,ask,7300,2003.0,28.0,2001.5,1
145,bid,7400,2001.0,28.0,2004.0,0
146,ask,7400,2005.0,28.0,2004.0,1
147,bid,7500,2002.0,25.0,2004.5,0
148,ask,7500,2006.0,26.0,2004.5,1
149,bid,7600,2003.0,30.0,2004.5,0
150,ask,7600,2006.0,30.0,2004.5,1
151,bid,7700,2002.0,26.0,2003.5,0
152,ask,7700,2005.0,26.0,2003.5,1
153,bid,7800,2002.0,22.0,2005.0,0
154,ask,7800,2006.0,22.0,2005.0,1
155,bid,7900,2003.0,29.0,2005.5,0
156,ask,7900,2007.0,30.0,2005.5,1
157,bid,8000,2003.0,24.0,2004.5,0
158,ask,8000,2006.0,24.0,2004.5,1
159,bid,8100,2002.0,21.0,2003.5,0
160,ask,8100,2005.0,21.0,2003.5,1
161,bid,8200,2000.0,30.0,2003.0,0
162,ask,8200,2004.0,30.0,2003.0,1
163,bid,8300,2001.0,29.0,2003.0,0
164,ask,8300,2005.0,27.0,2003.0,1
165,bid,8400,2002.0,25.0,2003.5,0
166,ask,8400,2005.0,25.0,2003.5,1
167,bid,8500,2001.0,23.0,2002.5,0
168,ask,8500,2005.0,24.0,2002.5,1
169,bid,8600,2003.0,28.0,2004.5,0
170,ask,8600,2006.0,28.0,2004.5,1
171,bid,8700,2002.0,22.0,2005.0,0
172,ask,8700,2006.0,24.0,2005.0,1
173,bid,8900,2002.0,28.0,2003.5,0
174,ask,8900,2005.0,27.0,2003.5,1
175,bid,9000,2002.0,31.0,2003.0,0
176,ask,9000,2005.0,31.0,2003.0,1
177,bid,9100,2002.0,24.0,2004.0,0
178,ask,9100,2006.0,24.0,2004.0,1
179,bid,9200,2002.0,28.0,2003.5,0
180,ask,9200,2005.0,28.0,2003.5,1
181,bid,9300,2002.0,28.0,2005.0,0
182,ask,9300,2006.0,28.0,2005.0,1
183,bid,9400,2002.0,27.0,2003.0,0
184,ask,9400,2005.0,27.0,2003.0,1
185,bid,9500,2001.0,29.0,2002.5,0
186,ask,9500,2004.0,25.0,2002.5,1
187,bid,9600,2001.0,35.0,2003.0,0
188,ask,9600,2004.0,31.0,2003.0,1
189,bid,9700,2001.0,30.0,2002.5,0
190,ask,9700,2004.0,30.0,2002.5,1
191,bid,9800,2002.0,32.0,2003.5,0
192,ask,9800,2005.0,25.0,2003.5,1
193,bid,9900,2002.0,27.0,2003.0,0
194,ask,9900,2006.0,27.0,2003.0,1
195,bid,10000,2002.0,31.0,2003.5,0
196,ask,10000,2005.0,31.0,2003.5,1
197,bid,10100,2002.0,25.0,2004.5,0
198,ask,10100,2006.0,25.0,2004.5,1
199,bid,10200,2003.0,30.0,2005.0,0
200,ask,10200,2007.0,30.0,2005.0,1
201,bid,10300,2004.0,23.0,2006.5,0
202,ask,10300,2007.0,23.0,2006.5,1
203,bid,10400,2004.0,23.0,2005.5,0
204,ask,10400,2007.0,23.0,2005.5,1
205,bid,10600,2004.0,30.0,2005.0,0
206,ask,10600,2007.0,30.0,2005.0,1
207,bid,10700,2004.0,29.0,2005.5,0
208,ask,10700,2007.0,29.0,2005.5,1
209,bid,10800,2003.0,24.0,2004.5,0
210,ask,10800,2006.0,24.0,2004.5,1
211,bid,10900,2004.0,22.0,2005.5,0
212,ask,10900,2007.0,22.0,2005.5,1
213,bid,11000,2004.0,27.0,2005.5,0
214,ask,11000,2007.0,27.0,2005.5,1
215,bid,11100,2004.0,29.0,2005.5,0
216,ask,11100,2007.0,29.0,2005.5,1
217,bid,11200,2003.0,21.0,2004.5,0
218,ask,11200,2006.0,21.0,2004.5,1
219,bid,11300,2003.0,22.0,2004.5,0
220,ask,11300,2006.0,23.0,2004.5,1
221,bid,11400,2002.0,29.0,2004.0,0
222,ask,11400,2006.0,30.0,2004.0,1
223,bid,11500,2003.0,24.0,2004.5,0
224,ask,11500,2006.0,24.0,2004.5,1
225,bid,11600,2002.0,30.0,2003.5,0
226,ask,11600,2005.0,30.0,2003.5,1
227,bid,11700,2003.0,23.0,2004.5,0
228,ask,11700,2006.0,23.0,2004.5,1
229,bid,11800,2003.0,31.0,2005.0,0
230,ask,11800,2007.0,31.0,2005.0,1
231,bid,11900,2003.0,22.0,2005.5,0
232,ask,11900,2007.0,23.0,2005.5,1
233,bid,12000,2003.0,28.0,2004.5,0
234,ask,12000,2006.0,30.0,2004.5,1
235,bid,12100,2002.0,21.0,2004.5,0
236,ask,12100,2006.0,21.0,2004.5,1
237,bid,12200,2001.0,23.0,2002.5,0
238,ask,12200,2004.0,23.0,2002.5,1
239,bid,12300,2002.0,28.0,2003.5,0
240,ask,12300,2005.0,28.0,2003.5,1
241,bid,12400,2001.0,25.0,2002.5,0
242,ask,12400,2004.0,25.0,2002.5,1
243,bid,12500,2001.0,28.0,2003.5,0
244,ask,12500,2005.0,29.0,2003.5,1
245,bid,12600,2000.0,27.0,2002.0,0
246,ask,12600,2004.0,27.0,2002.0,1
247,bid,12700,2002.0,23.0,2003.5,0
248,ask,12700,2005.0,23.0,2003.5,1
249,bid,13000,2000.0,31.0,2002.5,0
250,ask,13000,2003.0,31.0,2002.5,1
251,bid,13100,1997.0,21.0,2000.0,0
252,ask,13100,2001.0,22.0,2000.0,1
253,bid,13200,1995.0,23.0,1997.0,0
254,ask,13200,1999.0,23.0,1997.0,1
255,bid,13300,1996.0,29.0,1997.5,0
256,ask,13300,1999.0,29.0,1997.5,1
257,bid,13400,1995.0,28.0,1997.0,0
258,ask,13400,1999.0,28.0,1997.0,1
259,bid,13500,1997.0,26.0,1998.0,0
260,ask,13500,2000.0,27.0,1998.0,1
261,bid,13600,1998.0,24.0,2000.0,0
262,ask,13600,2001.0,24.0,2000.0,1
263,bid,13700,1995.0,21.0,1997.0,0
264,ask,13700,1999.0,21.0,1997.0,1
265,bid,13800,1995.0,22.0,1996.5,0
266,ask,13800,1998.0,22.0,1996.5,1
267,bid,13900,1996.0,21.0,1997.5,0
268,ask,13900,1999.0,21.0,1997.5,1
269,bid,14000,1997.0,25.0,1999.0,0
270,ask,14000,2001.0,25.0,1999.0,1
271,bid,14100,1998.0,27.0,1999.5,0
272,ask,14100,2001.0,27.0,1999.5,1
273,bid,14200,1994.0,23.0,1996.5,0
274,ask,14200,1998.0,25.0,1996.5,1
275,bid,14300,1994.0,24.0,1995.5,0
276,ask,14300,1997.0,25.0,1995.5,1
277,bid,14500,1995.0,30.0,1997.5,0
278,ask,14500,1999.0,31.0,1997.5,1
279,bid,14600,1996.0,21.0,1997.5,0
280,ask,14600,1999.0,21.0,1997.5,1
281,bid,14800,1996.0,33.0,1997.5,0
282,ask,14800,1999.0,30.0,1997.5,1
283,bid,14900,1997.0,29.0,1999.5,0
284,ask,14900,2001.0,29.0,1999.5,1
285,bid,15000,1998.0,23.0,1999.5,0
286,ask,15000,2001.0,23.0,1999.5,1
287,bid,15100,1997.0,29.0,1999.0,0
288,ask,15100,2001.0,29.0,1999.0,1
289,bid,15200,1998.0,28.0,1999.5,0
290,ask,15200,2001.0,28.0,1999.5,1
291,bid,15300,1997.0,26.0,1998.5,0
292,ask,15300,2000.0,26.0,1998.5,1
293,bid,15400,1996.0,22.0,1997.5,0
294,ask,15400,1999.0,22.0,1997.5,1
295,bid,15500,1997.0,25.0,1998.0,0
296,ask,15500,2001.0,25.0,1998.0,1
297,bid,15600,1999.0,25.0,2000.5,0
298,ask,15600,2002.0,25.0,2000.5,1
299,bid,15700,1997.0,31.0,1999.0,0
300,ask,15700,2001.0,31.0,1999.0,1
301,bid,15800,1998.0,21.0,1999.5,0
302,ask,15800,2001.0,21.0,1999.5,1
303,bid,15900,1997.0,26.0,1998.5,0
304,ask,15900,2000.0,26.0,1998.5,1
305,bid,16000,1996.0,22.0,1997.0,0
306,ask,16000,1999.0,22.0,1997.0,1
307,bid,16100,1995.0,27.0,1997.5,0
308,ask,16100,1998.0,27.0,1997.5,1
309,bid,16200,1995.0,35.0,1997.0,0
310,ask,16200,1998.0,30.0,1997.0,1
311,bid,16300,1995.0,30.0,1996.5,0
312,ask,16300,1998.0,30.0,1996.5,1
313,bid,16400,1994.0,29.0,1994.5,0
314,ask,16400,1997.0,29.0,1994.5,1
315,bid,16500,1994.0,27.0,1995.5,0
316,ask,16500,1997.0,27.0,1995.5,1
317,bid,16600,1994.0,23.0,1996.0,0
318,ask,16600,1998.0,23.0,1996.0,1
319,bid,16700,1994.0,24.0,1996.0,0
320,ask,16700,1998.0,24.0,1996.0,1
321,bid,16800,1994.0,21.0,1995.5,0
322,ask,16800,1997.0,21.0,1995.5,1
323,bid,16900,1994.0,26.0,1995.5,0
324,ask,16900,1997.0,26.0,1995.5,1
325,bid,17000,1993.0,29.0,1995.0,0
326,ask,17000,1997.0,29.0,1995.0,1
327,bid,17100,1993.0,25.0,1995.0,0
328,ask,17100,1997.0,25.0,1995.0,1
329,ask,17200,1997.0,30.0,1995.5,1
330,bid,17300,1995.0,25.0,1996.5,0
331,ask,17300,1998.0,25.0,1996.5,1
332,bid,17400,1995.0,26.0,1997.0,0
333,ask,17400,1999.0,26.0,1997.0,1
334,bid,17500,1995.0,22.0,1997.0,0
335,ask,17500,1999.0,21.0,1997.0,1
336,bid,17600,1994.0,31.0,1996.0,0
337,ask,17600,1998.0,31.0,1996.0,1
338,bid,17700,1994.0,28.0,1995.5,0
339,ask,17700,1997.0,28.0,1995.5,1
340,bid,17800,1995.0,30.0,1996.5,0
341,ask,17800,1998.0,30.0,1996.5,1
342,bid,17900,1994.0,22.0,1995.5,0
343,ask,17900,1997.0,22.0,1995.5,1
344,bid,18000,1994.0,30.0,1996.0,0
345,ask,18000,1997.0,30.0,1996.0,1
346,bid,18100,1994.0,26.0,1995.5,0
347,ask,18100,1997.0,27.0,1995.5,1
348,bid,18200,1994.0,37.0,1995.5,0
349,ask,18200,1997.0,29.0,1995.5,1
350,bid,18300,1993.0,27.0,1994.0,0
351,ask,18300,1996.0,27.0,1994.0,1
352,bid,18400,1993.0,21.0,1995.0,0
353,ask,18400,1997.0,21.0,1995.0,1
354,bid,18500,1993.0,26.0,1994.0,0
355,ask,18500,1997.0,26.0,1994.0,1
356,bid,18600,1993.0,30.0,1994.5,0
357,ask,18600,1997.0,30.0,1994.5,1
358,bid,18700,1993.0,30.0,1996.0,0
359,ask,18700,1997.0,32.0,1996.0,1
360,bid,18800,1994.0,26.0,1995.5,0
361,ask,18800,1997.0,26.0,1995.5,1
362,bid,18900,1994.0,25.0,1995.0,0
363,ask,18900,1997.0,25.0,1995.0,1
364,bid,19000,1995.0,24.0,1996.5,0
365,ask,19000,1998.0,24.0,1996.5,1
366,bid,19100,1994.0,24.0,1995.0,0
367,ask,19100,1998.0,24.0,1995.0,1
368,bid,19200,1993.0,23.0,1994.5,0
369,ask,19200,1996.0,24.0,1994.5,1
370,bid,19300,1994.0,31.0,1995.5,0
371,ask,19300,1997.0,31.0,1995.5,1
372,bid,19400,1993.0,22.0,1995.0,0
373,ask,19400,1997.0,23.0,1995.0,1
374,bid,19500,1993.0,29.0,1995.5,0
375,ask,19500,1997.0,31.0,1995.5,1
376,bid,19600,1995.0,22.0,1996.5,0
377,ask,19600,1998.0,22.0,1996.5,1
378,bid,19700,1995.0,26.0,1996.5,0
379,ask,19700,1998.0,26.0,1996.5,1
380,bid,19800,1995.0,23.0,1996.5,0
381,ask,19800,1998.0,23.0,1996.5,1
382,bid,19900,1994.0,24.0,1996.5,0
383,ask,19900,1998.0,26.0,1996.5,1
384,bid,20000,1994.0,28.0,1996.0,0
385,ask,20000,1998.0,28.0,1996.0,1
386,bid,20100,1994.0,30.0,1995.0,0
387,ask,20100,1997.0,30.0,1995.0,1
388,bid,20200,1995.0,29.0,1996.5,0
389,ask,20200,1998.0,28.0,1996.5,1
390,bid,20300,1994.0,26.0,1996.5,0
391,ask,20300,1997.0,25.0,1996.5,1
392,bid,20400,1993.0,25.0,1995.0,0
393,ask,20400,1997.0,25.0,1995.0,1
394,bid,20500,1993.0,25.0,1994.0,0
395,ask,20500,1997.0,24.0,1994.0,1
396,bid,20600,1994.0,21.0,1995.5,0
397,ask,20600,1997.0,21.0,1995.5,1
398,bid,20700,1995.0,23.0,1996.5,0
399,ask,20700,1999.0,22.0,1996.5,1
400,bid,20800,1994.0,21.0,1996.5,0
401,ask,20800,1998.0,23.0,1996.5,1
402,bid,20900,1993.0,30.0,1995.0,0
403,ask,20900,1997.0,30.0,1995.0,1
404,bid,21000,1992.0,29.0,1993.5,0
405,ask,21000,1995.0,29.0,1993.5,1
406,bid,21100,1992.0,23.0,1993.5,0
407,ask,21100,1995.0,23.0,1993.5,1
408,bid,21200,1991.0,28.0,1992.5,0
409,ask,21200,1994.0,28.0,1992.5,1
410,bid,21300,1991.0,27.0,1993.5,0
411,ask,21300,1995.0,29.0,1993.5,1
412,bid,21400,1991.0,23.0,1992.0,0
413,ask,21400,1995.0,23.0,1992.0,1
414,bid,21500,1992.0,26.0,1993.5,0
415,ask,21500,1995.0,26.0,1993.5,1
416,bid,21600,1991.0,23.0,1992.0,0
417,ask,21600,1994.0,23.0,1992.0,1
418,bid,21700,1990.0,22.0,1991.5,0
419,ask,21700,1993.0,22.0,1991.5,1
420,bid,21800,1991.0,27.0,1992.0,0
421,ask,21800,1994.0,27.0,1992.0,1
422,bid,21900,1990.0,21.0,1992.0,0
423,ask,21900,1994.0,21.0,1992.0,1
424,bid,22000,1990.0,24.0,1992.0,0
425,ask,22000,1994.0,24.0,1992.0,1
426,bid,22100,1991.0,26.0,1993.5,0
427,ask,22100,1995.0,26.0,1993.5,1
428,bid,22200,1991.0,27.0,1993.0,0
429,ask,22200,1995.0,27.0,1993.0,1
430,bid,22300,1991.0,27.0,1991.5,0
431,ask,22300,1995.0,27.0,1991.5,1
432,bid,22400,1993.0,29.0,1995.5,0
433,ask,22400,1996.0,29.0,1995.5,1
434,bid,22500,1993.0,29.0,1995.5,0
435,ask,22500,1997.0,30.0,1995.5,1
436,ask,22600,1997.0,22.0,1995.0,1
437,bid,22700,1994.0,35.0,1995.5,0
438,ask,22700,1997.0,27.0,1995.5,1
439,bid,22800,1994.0,22.0,1995.5,0
440,ask,22800,1997.0,22.0,1995.5,1
441,bid,22900,1994.0,22.0,1994.5,0
442,ask,22900,1998.0,22.0,1994.5,1
443,bid,23000,1994.0,26.0,1995.5,0
444,ask,23000,1997.0,26.0,1995.5,1
445,bid,23100,1994.0,22.0,1995.0,0
446,ask,23100,1998.0,21.0,1995.0,1
447,bid,23200,1995.0,29.0,1996.5,0
448,ask,23200,1998.0,29.0,1996.5,1
449,bid,23300,1995.0,27.0,1997.0,0
450,ask,23300,1998.0,22.0,1997.0,1
451,bid,23400,1994.0,21.0,1996.0,0
452,ask,23400,1998.0,21.0,1996.0,1
453,bid,23500,1994.0,22.0,1995.5,0
454,ask,23500,1997.0,22.0,1995.5,1
455,bid,23600,1994.0,23.0,1996.0,0
456,ask,23600,1998.0,22.0,1996.0,1
457,bid,23700,1995.0,27.0,1996.0,0
458,ask,23700,1998.0,27.0,1996.0,1
459,bid,23800,1993.0,27.0,1995.5,0
460,ask,23800,1997.0,29.0,1995.5,1
461,bid,23900,1992.0,23.0,1994.0,0
462,ask,23900,1996.0,23.0,1994.0,1
463,bid,24000,1992.0,26.0,1994.5,0
464,ask,24000,1995.0,26.0,1994.5,1
465,bid,24100,1993.0,31.0,1994.5,0
466,ask,24100,1996.0,31.0,1994.5,1
467,bid,24200,1992.0,32.0,1993.0,0
468,ask,24200,1996.0,30.0,1993.0,1
469,bid,24300,1992.0,29.0,1994.0,0
470,ask,24300,1996.0,29.0,1994.0,1
471,bid,24400,1992.0,33.0,1993.5,0
472,ask,24400,1995.0,29.0,1993.5,1
473,bid,24500,1992.0,22.0,1994.5,0
474,ask,24500,1995.0,22.0,1994.5,1
475,bid,24600,1991.0,30.0,1992.5,0
476,ask,24600,1994.0,30.0,1992.5,1
477,bid,24700,1990.0,27.0,1991.0,0
478,ask,24700,1994.0,27.0,1991.0,1
479,bid,24800,1989.0,23.0,1991.0,0
480,ask,24800,1993.0,23.0,1991.0,1
481,bid,24900,1989.0,28.0,1990.5,0
482,ask,24900,1993.0,26.0,1990.5,1
483,bid,25000,1989.0,24.0,1991.0,0
484,ask,25000,1993.0,24.0,1991.0,1
485,bid,25100,1989.0,24.0,1992.5,0
486,ask,25100,1993.0,24.0,1992.5,1
487,bid,25200,1989.0,26.0,1990.5,0
488,ask,25200,1993.0,25.0,1990.5,1
489,bid,25300,1991.0,23.0,1992.0,0
490,ask,25300,1995.0,23.0,1992.0,1
491,bid,25400,1993.0,22.0,1994.5,0
492,ask,25400,1996.0,22.0,1994.5,1
493,bid,25500,1992.0,31.0,1993.5,0
494,ask,25500,1995.0,31.0,1993.5,1
495,bid,25600,1991.0,31.0,1992.0,0
496,ask,25600,1995.0,31.0,1992.0,1
497,bid,25700,1992.0,30.0,1993.5,0
498,ask,25700,1995.0,30.0,1993.5,1
499,bid,25800,1991.0,24.0,1993.5,0
500,ask,25800,1995.0,24.0,1993.5,1
501,bid,25900,1991.0,25.0,1992.0,0
502,ask,25900,1994.0,25.0,1992.0,1
503,bid,26000,1991.0,24.0,1993.5,0
504,ask,26000,1995.0,26.0,1993.5,1
505,bid,26100,1991.0,23.0,1993.0,0
506,ask,26100,1995.0,23.0,1993.0,1
507,bid,26200,1990.0,30.0,1992.5,0
508,ask,26200,1993.0,30.0,1992.5,1
509,bid,26300,1992.0,27.0,1993.0,0
510,ask,26300,1995.0,28.0,1993.0,1
511,bid,26400,1991.0,23.0,1993.0,0
512,ask,26400,1995.0,24.0,1993.0,1
513,bid,26500,1991.0,26.0,1992.5,0
514,ask,26500,1994.0,26.0,1992.5,1
515,bid,26600,1992.0,23.0,1993.5,0
516,ask,26600,1995.0,23.0,1993.5,1
517,bid,26700,1994.0,23.0,1995.5,0
518,ask,26700,1997.0,23.0,1995.5,1
519,bid,26800,1994.0,22.0,1996.5,0
520,ask,26800,1997.0,22.0,1996.5,1
521,bid,26900,1994.0,26.0,1995.5,0
522,ask,26900,1997.0,26.0,1995.5,1
523,ask,27000,1995.0,21.0,1993.5,1
524,bid,27100,1991.0,30.0,1993.0,0
525,ask,27100,1995.0,30.0,1993.0,1
526,bid,27200,1991.0,27.0,1992.0,0
527,ask,27200,1994.0,28.0,1992.0,1
528,bid,27300,1991.0,30.0,1993.0,0
529,ask,27300,1995.0,30.0,1993.0,1
530,bid,27400,1992.0,23.0,1992.5,0
531,ask,27400,1995.0,23.0,1992.5,1
532,bid,27500,1992.0,28.0,1993.5,0
533,ask,27500,1995.0,28.0,1993.5,1
534,bid,27600,1992.0,30.0,1993.0,0
535,ask,27600,1995.0,30.0,1993.0,1
536,bid,27700,1992.0,27.0,1994.0,0
537,ask,27700,1995.0,27.0,1994.0,1
538,bid,27800,1993.0,24.0,1994.5,0
539,ask,27800,1996.0,24.0,1994.5,1
540,bid,27900,1992.0,23.0,1993.5,0
541,ask,27900,1995.0,23.0,1993.5,1
542,bid,28000,1993.0,29.0,1994.5,0
543,ask,28000,1996.0,29.0,1994.5,1
544,bid,28100,1993.0,24.0,1993.5,0
545,ask,28100,1996.0,24.0,1993.5,1
546,bid,28200,1993.0,23.0,1995.5,0
547,ask,28200,1997.0,25.0,1995.5,1
548,bid,28300,1992.0,27.0,1993.0,0
549,ask,28300,1996.0,27.0,1993.0,1
550,bid,28400,1992.0,25.0,1994.0,0
551,ask,28400,1996.0,25.0,1994.0,1
552,bid,28500,1992.0,27.0,1994.0,0
553,ask,28500,1996.0,27.0,1994.0,1
554,bid,28600,1992.0,26.0,1993.5,0
555,ask,28600,1996.0,24.0,1993.5,1
556,bid,28700,1993.0,34.0,1994.5,0
557,ask,28700,1996.0,32.0,1994.5,1
558,bid,28800,1993.0,29.0,1995.5,0
559,ask,28800,1996.0,29.0,1995.5,1
560,bid,28900,1993.0,22.0,1994.5,0
561,ask,28900,1996.0,22.0,1994.5,1
562,bid,29000,1992.0,26.0,1993.5,0
563,ask,29000,1995.0,26.0,1993.5,1
564,bid,29100,1992.0,30.0,1993.5,0
565,ask,29100,1995.0,22.0,1993.5,1
566,bid,29200,1992.0,30.0,1994.5,0
567,ask,29200,1995.0,30.0,1994.5,1
568,bid,29300,1992.0,23.0,1994.5,0
569,ask,29300,1996.0,23.0,1994.5,1
570,bid,29400,1991.0,25.0,1993.0,0
571,ask,29400,1995.0,25.0,1993.0,1
572,bid,29500,1990.0,31.0,1991.5,0
573,ask,29500,1993.0,31.0,1991.5,1
574,bid,29600,1990.0,24.0,1992.0,0
575,ask,29600,1994.0,24.0,1992.0,1
576,bid,29700,1989.0,29.0,1991.5,0
577,ask,29700,1993.0,30.0,1991.5,1
578,bid,29800,1989.0,22.0,1990.5,0
579,bid,29900,1989.0,29.0,1990.0,0
580,ask,29900,1993.0,29.0,1990.0,1
581,bid,30000,1987.0,28.0,1988.5,0
582,ask,30000,1990.0,28.0,1988.5,1
