day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,spread,volatility,total_volume,bid_depth,ask_depth,total_depth
-1,1800,RAINFOREST_RESIN,10002,1,9996.0,1.0,9995.0,22.0,10004,1,10005.0,22.0,,,10003.0,0.0,2,4368.452792465543,2,24.0,23.0,47.0
-1,1800,KELP,2024,23,,,,,2028,23,,,,,2026.0,0.0,4,4368.452792465543,46,23.0,23.0,46.0
-1,1900,KELP,2024,29,,,,,2026,5,2027.0,29.0,,,2025.0,0.0,2,4368.452792465543,34,29.0,34.0,63.0
-1,1900,RAINFOREST_RESIN,9996,1,9995.0,28.0,,,10004,1,10005.0,28.0,,,10000.0,0.0,8,4368.17894551036,2,29.0,29.0,58.0
-1,2000,KELP,2024,26,,,,,2027,26,,,,,2025.5,0.0,3,4368.635261726481,52,26.0,26.0,52.0
-1,2000,RAINFOREST_RESIN,9996,2,9995.0,24.0,,,9998,1,10004.0,2.0,10005.0,24.0,9997.0,0.0,2,4366.992094107796,3,26.0,27.0,53.0
-1,2100,RAINFOREST_RESIN,9996,2,9995.0,25.0,,,10002,3,10004.0,2.0,10005.0,25.0,9999.0,0.0,6,4367.220305869627,5,27.0,30.0,57.0
-1,2100,KELP,2024,27,,,,,2027,2,2028.0,25.0,,,2025.5,0.0,3,4367.0833716566485,29,27.0,27.0,54.0
-1,2200,RAINFOREST_RESIN,9998,8,9996.0,1.0,9995.0,24.0,10004,1,10005.0,24.0,,,10001.0,0.0,6,4367.266041243652,9,33.0,25.0,58.0
-1,2200,KELP,2024,25,,,,,2026,7,2027.0,1.0,2028.0,24.0,2025.0,0.0,2,4367.40297545349,32,25.0,32.0,57.0
-1,2300,KELP,2024,32,,,,,2028,32,,,,,2026.0,0.0,4,4367.813606371041,64,32.0,32.0,64.0
-1,2300,RAINFOREST_RESIN,9998,7,9996.0,2.0,9995.0,30.0,10004,2,10005.0,30.0,,,10001.0,0.0,6,4368.361271689877,9,39.0,32.0,71.0
-1,2400,KELP,2024,29,,,,,2025,1,2028.0,29.0,,,2024.5,0.0,1,4368.543864950883,30,29.0,30.0,59.0
-1,2400,RAINFOREST_RESIN,9995,29,,,,,10005,29,,,,,10000.0,0.0,10,4368.270017981947,58,29.0,29.0,58.0
-1,2500,RAINFOREST_RESIN,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,0.0,8,4368.133090921108,2,23.0,23.0,46.0
-1,2500,KELP,2025,2,2024.0,23.0,,,2027,1,2028.0,22.0,,,2026.0,0.0,2,4368.133090921108,3,25.0,23.0,48.0
-1,2600,RAINFOREST_RESIN,9995,23,,,,,10005,23,,,,,10000.0,0.0,10,4367.950497659057,46,23.0,23.0,46.0
-1,2600,KELP,2025,3,2024.0,23.0,,,2028,23,,,,,2026.5,0.0,3,4367.402746484459,26,26.0,23.0,49.0
-1,2700,KELP,2024,26,,,,,2027,26,,,,,2025.5,0.0,3,4367.539687856311,52,26.0,26.0,52.0
-1,2700,RAINFOREST_RESIN,9998,6,9995.0,26.0,,,10005,26,,,,,10001.5,0.0,7,4367.950511967826,32,32.0,26.0,58.0
-1,2800,KELP,2023,25,,,,,2027,25,,,,,2025.0,0.0,4,4368.133105229281,50,25.0,25.0,50.0
-1,2800,RAINFOREST_RESIN,9995,25,,,,,10005,25,,,,,10000.0,0.0,10,4368.133105229281,50,25.0,25.0,50.0
-1,2900,RAINFOREST_RESIN,9996,1,9995.0,25.0,,,10004,1,10005.0,25.0,,,10000.0,0.0,8,4368.224373243664,2,26.0,26.0,52.0
-1,2900,KELP,2023,26,,,,,2027,26,,,,,2025.0,0.0,4,4368.361300304727,52,26.0,26.0,52.0
-1,3000,RAINFOREST_RESIN,9998,1,9995.0,26.0,,,10005,26,,,,,10001.5,0.0,7,4368.361300304727,27,27.0,26.0,53.0
-1,3000,KELP,2024,29,,,,,2027,26,,,,,2025.5,0.0,3,4368.224373243664,55,29.0,26.0,55.0
-1,3100,KELP,2023,26,,,,,2025,5,2026.0,26.0,,,2024.0,0.0,2,4368.589540687018,31,26.0,31.0,57.0
-1,3100,RAINFOREST_RESIN,9996,2,9995.0,24.0,,,10004,2,10005.0,24.0,,,10000.0,0.0,8,4368.589540687018,4,26.0,26.0,52.0
-1,3200,KELP,2023,23,,,,,2025,3,2026.0,23.0,,,2024.0,0.0,2,4368.772124407498,26,23.0,26.0,49.0
-1,3200,RAINFOREST_RESIN,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,0.0,8,4368.361300304728,2,23.0,23.0,46.0
-1,3300,RAINFOREST_RESIN,9996,2,9995.0,30.0,,,10004,2,10005.0,30.0,,,10000.0,0.0,8,4368.635118661205,4,32.0,32.0,64.0
-1,3300,KELP,2023,32,,,,,2025,2,2026.0,32.0,,,2024.0,0.0,2,4368.635118661205,34,32.0,34.0,66.0
-1,3400,RAINFOREST_RESIN,9996,2,9995.0,24.0,,,10004,2,10005.0,24.0,,,10000.0,0.0,8,4368.635118661205,4,26.0,26.0,52.0
-1,3400,KELP,2023,26,,,,,2026,26,,,,,2024.5,0.0,3,4368.498191598573,52,26.0,26.0,52.0
-1,3500,KELP,2023,26,,,,,2026,26,,,,,2024.5,0.0,3,4368.452549244413,52,26.0,26.0,52.0
-1,3500,RAINFOREST_RESIN,9995,26,,,,,10005,26,,,,,10000.0,0.0,10,4368.452549244413,52,26.0,26.0,52.0
-1,3600,KELP,2023,21,,,,,2026,21,,,,,2024.5,0.0,3,4368.361257382454,42,21.0,21.0,42.0
-1,3600,RAINFOREST_RESIN,9995,21,,,,,9998,4,10005.0,21.0,,,9996.5,0.0,3,4367.402918211235,25,21.0,25.0,46.0
-1,3700,RAINFOREST_RESIN,10002,1,9996.0,1.0,9995.0,23.0,10004,1,10005.0,23.0,,,10003.0,0.0,2,4368.2705759831315,2,25.0,24.0,49.0
-1,3700,KELP,2023,27,,,,,2026,24,,,,,2024.5,0.0,3,4368.2705759831315,51,27.0,24.0,51.0
-1,3800,RAINFOREST_RESIN,9996,2,9995.0,23.0,,,10002,10,10004.0,2.0,10005.0,23.0,9999.0,0.0,6,4368.088011361493,12,25.0,35.0,60.0
-1,3800,KELP,2023,25,,,,,2026,25,,,,,2024.5,0.0,3,4368.088011361493,50,25.0,25.0,50.0
-1,3900,KELP,2023,28,,,,,2026,26,,,,,2024.5,0.0,3,4368.9092088300495,54,28.0,26.0,54.0
-1,3900,RAINFOREST_RESIN,9998,1,9996.0,1.0,9995.0,25.0,10004,1,10005.0,25.0,,,10001.0,0.0,6,4368.3613146121525,2,27.0,26.0,53.0
-1,4000,KELP,2023,32,,,,,2026,32,,,,,2024.5,0.0,3,4368.3613146121525,64,32.0,32.0,64.0
-1,4000,RAINFOREST_RESIN,9996,2,9995.0,30.0,,,10004,2,10005.0,30.0,,,10000.0,0.0,8,4368.6351329677345,4,32.0,32.0,64.0
-1,4100,RAINFOREST_RESIN,9996,2,9995.0,27.0,,,10004,2,10005.0,27.0,,,10000.0,0.0,8,4368.543850644057,4,29.0,29.0,58.0
-1,4100,KELP,2023,29,,,,,2027,29,,,,,2025.0,0.0,4,4368.406923582098,58,29.0,29.0,58.0
-1,4200,RAINFOREST_RESIN,9996,2,9995.0,24.0,,,10002,4,10004.0,2.0,10005.0,24.0,9999.0,0.0,6,4368.041775212321,6,26.0,30.0,56.0
-1,4200,KELP,2023,26,,,,,2027,26,,,,,2025.0,0.0,4,4367.904840996425,52,26.0,26.0,52.0
-1,4300,KELP,2023,29,,,,,2024,5,2026.0,22.0,,,2023.5,0.0,1,4368.087453336988,34,29.0,27.0,56.0
-1,4300,RAINFOREST_RESIN,9995,22,,,,,9998,1,10000.0,6.0,10005.0,22.0,9996.5,0.0,3,4367.1290140090905,23,22.0,29.0,51.0
-1,4400,KELP,2023,30,,,,,2026,30,,,,,2024.5,0.0,3,4367.220291558466,60,30.0,30.0,60.0
-1,4400,RAINFOREST_RESIN,9995,30,,,,,10005,30,,,,,10000.0,0.0,10,4367.494238691107,60,30.0,30.0,60.0
-1,4500,RAINFOREST_RESIN,9996,1,9995.0,28.0,,,10002,10,10004.0,1.0,10005.0,28.0,9999.0,0.0,6,4367.813735154007,11,29.0,39.0,68.0
-1,4500,KELP,2023,28,,,,,2026,29,,,,,2024.5,0.0,3,4367.5398595777015,57,28.0,29.0,57.0
-1,4600,RAINFOREST_RESIN,9996,1,9995.0,29.0,,,10002,10,10004.0,1.0,10005.0,29.0,9999.0,0.0,6,4367.996128088944,11,30.0,40.0,70.0
-1,4600,KELP,2023,30,,,,,2026,30,,,,,2024.5,0.0,3,4367.996128088944,60,30.0,30.0,60.0
-1,4700,KELP,2023,25,,,,,2025,3,2026.0,32.0,,,2024.0,0.0,2,4367.904826687507,28,25.0,35.0,60.0
-1,4700,RAINFOREST_RESIN,9996,2,9995.0,30.0,,,10004,2,10005.0,30.0,,,10000.0,0.0,8,4368.178702273983,4,32.0,32.0,64.0
-1,4800,KELP,2023,24,,,,,2027,24,,,,,2025.0,0.0,4,4368.087424720346,48,24.0,24.0,48.0
-1,4800,RAINFOREST_RESIN,9998,6,9996.0,2.0,9995.0,22.0,10004,2,10005.0,22.0,,,10001.0,0.0,6,4368.635147274263,8,30.0,24.0,54.0
-1,4900,RAINFOREST_RESIN,9995,22,,,,,10002,7,10005.0,22.0,,,9998.5,0.0,7,4368.270075212843,29,22.0,29.0,51.0
-1,4900,KELP,2023,22,,,,,2027,22,,,,,2025.0,0.0,4,4367.996199632048,44,22.0,22.0,44.0
-1,5000,RAINFOREST_RESIN,9998,3,9996.0,2.0,9995.0,28.0,10004,2,10005.0,28.0,,,10001.0,0.0,6,4368.17880243014,5,33.0,30.0,63.0
-1,5000,KELP,2023,30,,,,,2026,30,,,,,2024.5,0.0,3,4368.315736642672,60,30.0,30.0,60.0
-1,5100,KELP,2023,37,,,,,2026,31,,,,,2024.5,0.0,3,4368.133133845627,68,37.0,31.0,68.0
-1,5100,RAINFOREST_RESIN,9996,1,9995.0,30.0,,,10004,1,10005.0,30.0,,,10000.0,0.0,8,4368.543850644059,2,31.0,31.0,62.0
-1,5200,KELP,2023,35,,,,,2026,27,,,,,2024.5,0.0,3,4368.6351329677345,62,35.0,27.0,62.0
-1,5200,RAINFOREST_RESIN,9998,9,9996.0,1.0,9995.0,26.0,10004,1,10005.0,26.0,,,10001.0,0.0,6,4368.6351329677345,10,36.0,27.0,63.0
-1,5300,RAINFOREST_RESIN,9996,1,9995.0,20.0,,,10004,1,10005.0,20.0,,,10000.0,0.0,8,4368.543850644058,2,21.0,21.0,42.0
-1,5300,KELP,2025,1,2023.0,21.0,,,2026,21,,,,,2025.5,0.0,1,4368.270003674225,22,22.0,21.0,43.0
-1,5400,RAINFOREST_RESIN,9995,21,,,,,10005,21,,,,,10000.0,0.0,10,4368.270003674225,42,21.0,21.0,42.0
-1,5400,KELP,2023,21,,,,,2025,6,2027.0,21.0,,,2024.0,0.0,2,4368.406952196649,27,21.0,27.0,48.0
-1,5500,KELP,2023,27,,,,,2027,27,,,,,2025.0,0.0,4,4368.178716582007,54,27.0,27.0,54.0
-1,5500,RAINFOREST_RESIN,9995,27,,,,,10005,27,,,,,10000.0,0.0,10,4368.178716582007,54,27.0,27.0,54.0
-1,5600,KELP,2025,2,2023.0,28.0,,,2027,28,,,,,2026.0,0.0,2,4368.08745333699,30,30.0,28.0,58.0
-1,5600,RAINFOREST_RESIN,9995,28,,,,,10005,28,,,,,10000.0,0.0,10,4368.08745333699,56,28.0,28.0,56.0
-1,5700,RAINFOREST_RESIN,9998,2,9995.0,27.0,,,10005,27,,,,,10001.5,0.0,7,4368.087453336989,29,29.0,27.0,56.0
-1,5700,KELP,2024,26,,,,,2027,27,,,,,2025.5,0.0,3,4367.950511967829,53,26.0,27.0,53.0
-1,5800,RAINFOREST_RESIN,9996,1,9995.0,30.0,,,10004,1,10005.0,30.0,,,10000.0,0.0,8,4367.950511967829,2,31.0,31.0,62.0
-1,5800,KELP,2024,31,,,,,2027,31,,,,,2025.5,0.0,3,4368.087439028667,62,31.0,31.0,62.0
-1,5900,KELP,2024,35,,,,,2027,30,,,,,2025.5,0.0,3,4368.224358935794,65,35.0,30.0,65.0
-1,5900,RAINFOREST_RESIN,9996,2,9995.0,28.0,,,10004,2,10005.0,28.0,,,10000.0,0.0,8,4367.81353482495,4,30.0,30.0,60.0
-1,6000,KELP,2024,30,,,,,2027,30,,,,,2025.5,0.0,3,4367.81353482495,60,30.0,30.0,60.0
-1,6000,RAINFOREST_RESIN,9995,30,,,,,10005,30,,,,,10000.0,0.0,10,4367.81353482495,60,30.0,30.0,60.0
-1,6100,RAINFOREST_RESIN,9996,1,9995.0,24.0,,,10004,1,10005.0,24.0,,,10000.0,0.0,8,4367.813534824949,2,25.0,25.0,50.0
-1,6100,KELP,2024,24,,,,,2027,25,,,,,2025.5,0.0,3,4367.813534824949,49,24.0,25.0,49.0
-1,6200,RAINFOREST_RESIN,9996,1,9995.0,21.0,,,10004,1,10005.0,21.0,,,10000.0,0.0,8,4367.813534824949,2,22.0,22.0,44.0
-1,6200,KELP,2024,22,,,,,2027,22,,,,,2025.5,0.0,3,4367.813534824949,44,22.0,22.0,44.0
-1,6300,KELP,2024,30,,,,,2027,25,,,,,2025.5,0.0,3,4367.81353482495,55,30.0,25.0,55.0
-1,6300,RAINFOREST_RESIN,9996,2,9995.0,23.0,,,10004,2,10005.0,23.0,,,10000.0,0.0,8,4367.81353482495,4,25.0,25.0,50.0
-1,6400,KELP,2024,25,,,,,2027,25,,,,,2025.5,0.0,3,4367.81353482495,50,25.0,25.0,50.0
-1,6400,RAINFOREST_RESIN,9996,1,9995.0,24.0,,,10004,1,10005.0,24.0,,,10000.0,0.0,8,4367.81353482495,2,25.0,25.0,50.0
-1,6500,RAINFOREST_RESIN,9996,1,9995.0,26.0,,,9998,1,10004.0,1.0,10005.0,26.0,9997.0,0.0,2,4367.265983999602,2,27.0,28.0,55.0
-1,6500,KELP,2024,27,,,,,2027,27,,,,,2025.5,0.0,3,4367.265983999602,54,27.0,27.0,54.0
-1,6600,RAINFOREST_RESIN,9996,2,9995.0,24.0,,,10004,2,10005.0,24.0,,,10000.0,0.0,8,4367.265983999602,4,26.0,26.0,52.0
-1,6600,KELP,2024,26,,,,,2028,26,,,,,2026.0,0.0,4,4367.129056943477,52,26.0,26.0,52.0
-1,6700,KELP,2025,7,2024.0,20.0,,,2028,20,,,,,2026.5,0.0,3,4366.718232838022,27,27.0,20.0,47.0
-1,6700,RAINFOREST_RESIN,9995,20,,,,,10002,3,10005.0,20.0,,,9998.5,0.0,7,4367.128928140321,23,20.0,23.0,43.0
-1,6800,KELP,2024,32,,,,,2026,8,2027.0,2.0,2028.0,30.0,2025.0,0.0,2,4367.220234313816,40,32.0,40.0,72.0
-1,6800,RAINFOREST_RESIN,9996,2,9995.0,30.0,,,10004,2,10005.0,30.0,,,10000.0,0.0,8,4367.220234313816,4,32.0,32.0,64.0
-1,6900,RAINFOREST_RESIN,9996,1,9995.0,26.0,,,10002,5,10004.0,1.0,10005.0,26.0,9999.0,0.0,6,4367.220234313815,6,27.0,32.0,59.0
-1,6900,KELP,2024,27,,,,,2026,1,2027.0,27.0,,,2025.0,0.0,2,4367.6309940286865,28,27.0,28.0,55.0
-1,7000,RAINFOREST_RESIN,9998,2,9995.0,27.0,,,10005,27,,,,,10001.5,0.0,7,4368.178773814095,29,29.0,27.0,56.0
-1,7000,KELP,2026,4,2024.0,27.0,,,2027,27,,,,,2026.5,0.0,1,4367.768014100567,31,31.0,27.0,58.0
-1,7100,KELP,2024,30,,,,,2027,30,,,,,2025.5,0.0,3,4367.859301190919,60,30.0,30.0,60.0
-1,7100,RAINFOREST_RESIN,9996,1,9995.0,29.0,,,10004,1,10005.0,29.0,,,10000.0,0.0,8,4368.1331052292835,2,30.0,30.0,60.0
-1,7200,KELP,2024,28,,,,,2027,28,,,,,2025.5,0.0,3,4368.0418038292655,56,28.0,28.0,56.0
-1,7200,RAINFOREST_RESIN,9998,5,9996.0,1.0,9995.0,27.0,10004,1,10005.0,27.0,,,10001.0,0.0,6,4367.904855305346,6,33.0,28.0,61.0
-1,7300,RAINFOREST_RESIN,10002,1,9996.0,2.0,9995.0,29.0,10004,2,10005.0,29.0,,,10003.0,0.0,2,4368.54396509867,3,32.0,31.0,63.0
-1,7300,KELP,2024,35,,,,,2027,31,,,,,2025.5,0.0,3,4368.54396509867,66,35.0,31.0,66.0
-1,7400,RAINFOREST_RESIN,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,0.0,8,4368.54396509867,2,23.0,23.0,46.0
-1,7400,KELP,2024,22,,,,,2027,23,,,,,2025.5,0.0,3,4368.54396509867,45,22.0,23.0,45.0
-1,7500,KELP,2024,25,,,,,2027,25,,,,,2025.5,0.0,3,4368.635247419957,50,25.0,25.0,50.0
-1,7500,RAINFOREST_RESIN,9995,25,,,,,10002,10,10005.0,25.0,,,9998.5,0.0,7,4367.402775105592,35,25.0,35.0,60.0
-1,7600,KELP,2024,22,,,,,2027,22,,,,,2025.5,0.0,3,4367.402775105592,44,22.0,22.0,44.0
-1,7600,RAINFOREST_RESIN,9996,2,9995.0,20.0,,,10004,2,10005.0,20.0,,,10000.0,0.0,8,4367.402775105592,4,22.0,22.0,44.0
-1,7700,RAINFOREST_RESIN,9995,22,,,,,10005,22,,,,,10000.0,0.0,10,4367.539716476544,44,22.0,22.0,44.0
-1,7700,KELP,2024,21,,,,,2027,22,,,,,2025.5,0.0,3,4367.539716476544,43,21.0,22.0,43.0
-1,7800,RAINFOREST_RESIN,9998,3,9996.0,1.0,9995.0,22.0,10004,1,10005.0,22.0,,,10001.0,0.0,6,4367.996128088944,4,26.0,23.0,49.0
-1,7800,KELP,2024,23,,,,,2027,23,,,,,2025.5,0.0,3,4367.996128088944,46,23.0,23.0,46.0
-1,7900,KELP,2024,31,,,,,2027,27,,,,,2025.5,0.0,3,4368.087410412024,58,31.0,27.0,58.0
-1,7900,RAINFOREST_RESIN,9996,1,9995.0,26.0,,,10004,1,10005.0,26.0,,,10000.0,0.0,8,4368.087410412024,2,27.0,27.0,54.0
-1,8000,KELP,2024,27,,,,,2026,8,2027.0,27.0,,,2025.0,0.0,2,4368.178702273984,35,27.0,35.0,62.0
-1,8000,RAINFOREST_RESIN,9995,27,,,,,10005,27,,,,,10000.0,0.0,10,4367.904826687508,54,27.0,27.0,54.0
-1,8100,RAINFOREST_RESIN,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,0.0,8,4367.950469041517,2,23.0,23.0,46.0
-1,8100,KELP,2023,23,,,,,2027,23,,,,,2025.0,0.0,4,4368.087396103701,46,23.0,23.0,46.0
-1,8200,RAINFOREST_RESIN,9995,23,,,,,10005,23,,,,,10000.0,0.0,10,4368.087396103701,46,23.0,23.0,46.0
-1,8200,KELP,2023,23,,,,,2025,1,2026.0,23.0,,,2024.0,0.0,2,4368.361271689879,24,23.0,24.0,47.0
-1,8300,KELP,2023,30,,,,,2026,30,,,,,2024.5,0.0,3,4368.361271689881,60,30.0,30.0,60.0
-1,8300,RAINFOREST_RESIN,9996,1,9995.0,29.0,,,10004,1,10005.0,29.0,,,10000.0,0.0,8,4368.361271689881,2,30.0,30.0,60.0
-1,8400,RAINFOREST_RESIN,9995,28,,,,,10005,28,,,,,10000.0,0.0,10,4368.4981915985745,56,28.0,28.0,56.0
-1,8400,KELP,2023,28,,,,,2026,28,,,,,2024.5,0.0,3,4368.452549244415,56,28.0,28.0,56.0
-1,8500,KELP,2023,31,,,,,2026,31,,,,,2024.5,0.0,3,4368.361257382456,62,31.0,31.0,62.0
-1,8500,RAINFOREST_RESIN,9998,10,9996.0,2.0,9995.0,29.0,10004,2,10005.0,29.0,,,10001.0,0.0,6,4368.543850644058,12,41.0,31.0,72.0
-1,8600,RAINFOREST_RESIN,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,0.0,8,4368.543850644058,2,23.0,23.0,46.0
-1,8600,KELP,2023,22,,,,,2026,23,,,,,2024.5,0.0,3,4368.635132967736,45,22.0,23.0,45.0
-1,8700,KELP,2023,27,,,,,2025,4,2026.0,27.0,,,2024.0,0.0,2,4368.7264248290985,31,27.0,31.0,58.0
-1,8700,RAINFOREST_RESIN,9998,10,9995.0,27.0,,,10005,27,,,,,10001.5,0.0,7,4368.954660442246,37,37.0,27.0,64.0
-1,8800,RAINFOREST_RESIN,9995,25,,,,,9998,1,10005.0,25.0,,,9996.5,0.0,3,4368.133420009057,26,25.0,26.0,51.0
-1,8800,KELP,2024,7,2023.0,25.0,,,2027,25,,,,,2025.5,0.0,3,4367.722638858841,32,32.0,25.0,57.0
-1,8900,KELP,2024,1,2023.0,26.0,,,2027,26,,,,,2025.5,0.0,3,4367.540074229432,27,27.0,26.0,53.0
-1,8900,RAINFOREST_RESIN,9998,9,9995.0,26.0,,,10005,26,,,,,10001.5,0.0,7,4367.722724715938,35,35.0,26.0,61.0
-1,9000,RAINFOREST_RESIN,9996,2,9995.0,29.0,,,10004,2,10005.0,29.0,,,10000.0,0.0,8,4367.448763294198,4,31.0,31.0,62.0
-1,9000,KELP,2023,31,,,,,2027,31,,,,,2025.0,0.0,4,4368.315650797231,62,31.0,31.0,62.0
-1,9100,KELP,2023,29,,,,,2026,2,2027.0,27.0,,,2024.5,0.0,3,4368.498234519505,31,29.0,29.0,58.0
-1,9100,RAINFOREST_RESIN,9998,3,9996.0,2.0,9995.0,27.0,10004,2,10005.0,27.0,,,10001.0,0.0,6,4368.68079916581,5,32.0,29.0,61.0
-1,9200,RAINFOREST_RESIN,9998,10,9995.0,27.0,,,10005,27,,,,,10001.5,0.0,7,4368.68079916581,37,37.0,27.0,64.0
-1,9200,KELP,2023,27,,,,,2025,7,2026.0,27.0,,,2024.0,0.0,2,4369.045928460816,34,27.0,34.0,61.0
-1,9300,KELP,2023,21,,,,,2026,21,,,,,2024.5,0.0,3,4369.1372060167705,42,21.0,21.0,42.0
-1,9300,RAINFOREST_RESIN,9996,1,9995.0,20.0,,,10004,1,10005.0,20.0,,,10000.0,0.0,8,4368.954660442246,2,21.0,21.0,42.0
